alpha_deg,CL,CD,CM,LD
-6.0,-0.288983,0.068434,-0.034466,-4.22
-5.5,-0.244838,0.059747,-0.04461,-4.1
-5.0,-0.186696,0.050503,-0.056076,-3.7
-4.5,-0.117705,0.041125,-0.067814,-2.86
-4.0,-0.048592,0.032855,-0.0773,-1.48
-3.5,0.024179,0.026787,-0.082286,0.9
-3.0,0.081271,0.022168,-0.081614,3.67
-2.5,0.117942,0.018618,-0.078572,6.33
-2.0,0.182257,0.01487,-0.075799,12.26
-1.5,0.235398,0.011583,-0.074684,20.32
-1.0,0.286766,0.0102,-0.073166,28.11
-0.5,0.339677,0.0094,-0.072138,36.14
0.0,0.391009,0.00905,-0.071695,43.21
0.5,0.442947,0.008069,-0.071373,54.89
1.0,0.50369,0.00666,-0.07206,75.63
1.5,0.560778,0.006769,-0.072463,82.85
2.0,0.610296,0.007037,-0.071549,86.73
2.5,0.661748,0.007296,-0.070958,90.7
3.0,0.714243,0.007527,-0.070494,94.89
3.5,0.766964,0.007737,-0.070004,99.13
4.0,0.81954,0.007938,-0.069471,103.24
4.5,0.87177,0.00815,-0.068938,106.97
5.0,0.923603,0.00841,-0.068442,109.82
5.5,0.975177,0.00878,-0.067918,111.07
6.0,1.026662,0.009346,-0.067106,109.85
6.5,1.077244,0.010153,-0.065868,106.1
7.0,1.122215,0.011425,-0.06432,98.22
7.5,1.158263,0.013519,-0.062427,85.68
8.0,1.193718,0.015755,-0.060265,75.77
8.5,1.229889,0.017825,-0.057768,69.0
9.0,1.263014,0.019975,-0.054725,63.23
9.5,1.290154,0.022415,-0.050984,57.56
10.0,1.309557,0.025278,-0.046586,51.81
10.5,1.320948,0.028678,-0.04186,46.06
11.0,1.325749,0.032733,-0.03741,40.5
11.5,1.326128,0.037532,-0.033849,35.33
12.0,1.323375,0.043128,-0.031494,30.68
12.5,1.317198,0.049566,-0.030344,26.57
13.0,1.30639,0.056941,-0.030313,22.94
13.5,1.289906,0.06544,-0.031458,19.71
14.0,1.267207,0.075382,-0.03412,16.81
14.5,1.237748,0.087311,-0.038997,14.18
15.0,1.200974,0.101799,-0.046957,11.8
15.5,1.15887,0.118851,-0.058546,9.75
16.0,1.119574,0.138044,-0.0732,8.11
16.5,1.088244,0.158721,-0.088595,6.86
17.0,1.05943,0.180241,-0.103792,5.88
17.5,1.030613,0.201531,-0.119494,5.11
18.0,1.004198,0.22164,-0.135392,4.53
18.5,0.982603,0.24017,-0.150673,4.09
19.0,0.966334,0.257418,-0.164944,3.75
19.5,0.954125,0.274225,-0.178162,3.48
20.0,0.943967,0.291475,-0.190293,3.24
20.5,0.934587,0.309692,-0.20123,3.02
21.0,0.926114,0.328932,-0.210925,2.82
21.5,0.919397,0.348942,-0.219461,2.63
22.0,0.915158,0.369382,-0.22701,2.48
22.5,0.913676,0.389946,-0.233778,2.34
23.0,0.914847,0.410401,-0.239958,2.23
23.5,0.918333,0.430604,-0.245707,2.13
