airfoil,Re,alpha_deg,CL,CD,CM,LD
naca0106,50000,-6.0,-0.638614,0.050778,-0.007383,-12.58
naca0106,50000,-5.5,-0.596174,0.040078,-0.011197,-14.88
naca0106,50000,-5.0,-0.547979,0.03315,-0.009935,-16.53
naca0106,50000,-4.5,-0.491095,0.027574,-0.008548,-17.81
naca0106,50000,-4.0,-0.432384,0.02319,-0.007425,-18.65
naca0106,50000,-3.5,-0.395446,0.018741,-0.001891,-21.1
naca0106,50000,-3.0,-0.308494,0.016034,-0.004468,-19.24
naca0106,50000,-2.5,-0.210268,0.015481,-0.009765,-13.58
naca0106,50000,-2.0,-0.171119,0.014745,-0.006232,-11.61
naca0106,50000,-1.5,-0.138278,0.014307,-0.002787,-9.67
naca0106,50000,-1.0,-0.096661,0.014099,-0.001197,-6.86
naca0106,50000,-0.5,-0.049409,0.014004,-0.000482,-3.53
naca0106,50000,0.0,0.0,0.013976,-0.0,0.0
naca0106,50000,0.5,0.049409,0.014004,0.000482,3.53
naca0106,50000,1.0,0.096661,0.014099,0.001197,6.86
naca0106,50000,1.5,0.138278,0.014307,0.002787,9.67
naca0106,50000,2.0,0.171119,0.014745,0.006232,11.61
naca0106,50000,2.5,0.210268,0.015481,0.009765,13.58
naca0106,50000,3.0,0.308494,0.016034,0.004468,19.24
naca0106,50000,3.5,0.395446,0.018741,0.001891,21.1
naca0106,50000,4.0,0.432384,0.02319,0.007425,18.65
naca0106,50000,4.5,0.491095,0.027574,0.008548,17.81
naca0106,50000,5.0,0.547979,0.03315,0.009935,16.53
naca0106,50000,5.5,0.596174,0.040078,0.011197,14.88
naca0106,50000,6.0,0.638614,0.050778,0.007383,12.58
naca0106,50000,6.5,0.660127,0.065315,-0.007465,10.11
naca0106,50000,7.0,0.64917,0.083111,-0.022086,7.81
naca0106,50000,7.5,0.646519,0.096602,-0.031139,6.69
naca0106,50000,8.0,0.653279,0.104175,-0.034939,6.27
naca0106,50000,8.5,0.661012,0.110246,-0.035767,6.0
naca0106,50000,9.0,0.66766,0.116708,-0.035845,5.72
naca0106,50000,9.5,0.674485,0.123717,-0.036055,5.45
naca0106,50000,10.0,0.682209,0.131039,-0.036721,5.21
naca0106,50000,10.5,0.690679,0.138461,-0.037999,4.99
naca0106,50000,11.0,0.699642,0.145851,-0.039887,4.8
naca0106,50000,11.5,0.709034,0.153129,-0.042285,4.63
naca0106,50000,12.0,0.718901,0.160251,-0.045092,4.49
naca0106,50000,12.5,0.729296,0.167194,-0.048248,4.36
naca0106,50000,13.0,0.740246,0.17395,-0.051725,4.26
naca0106,50000,13.5,0.751738,0.180521,-0.055519,4.16
naca0106,50000,14.0,0.763715,0.186924,-0.059644,4.09
naca0106,50000,14.5,0.776072,0.193197,-0.06414,4.02
naca0106,50000,15.0,0.788654,0.199398,-0.069075,3.96
naca0106,50000,15.5,0.801254,0.205616,-0.074555,3.9
naca0106,50000,16.0,0.813624,0.211972,-0.080717,3.84
naca0106,50000,16.5,0.825477,0.218622,-0.087729,3.78
naca0106,50000,17.0,0.836499,0.225768,-0.095766,3.71
naca0106,50000,17.5,0.846374,0.233658,-0.104988,3.62
naca0106,50000,18.0,0.854824,0.242584,-0.115488,3.52
naca0106,50000,18.5,0.861661,0.25286,-0.127242,3.41
naca0106,50000,19.0,0.866865,0.264777,-0.14006,3.27
naca0106,50000,19.5,0.870637,0.278547,-0.153579,3.13
naca0106,50000,20.0,0.873402,0.29423,-0.167306,2.97
naca0106,50000,20.5,0.87575,0.311701,-0.180721,2.81
naca0106,50000,21.0,0.87831,0.330653,-0.193386,2.66
naca0106,50000,21.5,0.881611,0.350659,-0.205017,2.51
naca0106,50000,22.0,0.885999,0.371263,-0.215505,2.39
naca0106,50000,22.5,0.891606,0.392064,-0.224875,2.27
naca0106,50000,23.0,0.898392,0.412766,-0.233239,2.18
naca0106,50000,23.5,0.906203,0.433188,-0.240748,2.09
